size time
100 60
200 66
300 75
400 91
500 87
600 155
700 159
800 98
900 97
1000 99
1100 106
1200 118
1300 194
1400 95
1500 112
1600 91
1700 107
1800 91
1900 91
2000 105
2100 96
2200 96
2300 109
2400 125
2500 126
2600 108
2700 98
2800 120
2900 108
3000 174
3100 100
3200 100
3300 114
3400 97
3500 104
3600 117
3700 225
3800 114
3900 99
4000 89
4100 99
4200 99
4300 97
4400 103
4500 97
4600 130
4700 96
4800 97
4900 97
5000 108
5100 97
5200 118
5300 107
5400 111
5500 100
5600 101
5700 97
5800 99
5900 97
6000 273
6100 113
6200 97
6300 97
6400 96
6500 96
6600 97
6700 106
6800 100
6900 102
7000 98
7100 97
7200 103
7300 97
7400 115
7500 208
7600 115
7700 118
7800 151
7900 117
8000 100
8100 129
8200 343
8300 146
8400 140
8500 137
8600 142
8700 165
8800 126
8900 182
9000 184
9100 138
9200 139
9300 145
9400 160
9500 142
9600 182
9700 141
9800 147
9900 143
