size time
100 0
200 1
300 0
400 5
500 2
600 2
700 3
800 3
900 3
1000 4
1100 3
1200 5
1300 5
1400 4
1500 5
1600 5
1700 8
1800 6
1900 6
2000 7
2100 7
2200 16
2300 7
2400 10
2500 12
2600 11
2700 8
2800 9
2900 13
3000 21
3100 10
3200 11
3300 17
3400 15
3500 11
3600 12
3700 13
3800 14
3900 24
4000 12
4100 13
4200 15
4300 14
4400 15
4500 15
4600 16
4700 31
4800 16
4900 20
5000 32
5100 17
5200 17
5300 34
5400 20
5500 29
5600 27
5700 25
5800 19
5900 26
6000 34
6100 19
6200 29
6300 39
6400 26
6500 25
6600 47
6700 24
6800 22
6900 22
7000 22
7100 23
7200 42
7300 62
7400 25
7500 62
7600 25
7700 57
7800 25
7900 59
8000 30
8100 58
8200 27
8300 42
8400 49
8500 34
8600 33
8700 50
8800 28
8900 48
9000 33
9100 32
9200 44
9300 37
9400 34
9500 54
9600 62
9700 33
9800 63
9900 32
