size time perm
1 0 0
2 1 0
3 1 0
4 2 5
5 3 2
6 5 6
7 6 7
8 10 8
9 9 9
10 10 22
11 11 21
12 13 31
13 16 24
14 19 49
15 21 39
16 25 54
17 34 46
18 39 73
19 42 74
20 46 67
21 50 65
22 55 59
23 59 110
24 62 100
25 63 126
26 67 154
27 71 143
28 75 136
29 86 174
30 88 188
31 95 171
32 95 191
33 97 237
34 104 251
35 109 253
36 129 237
37 200 238
38 129 243
39 132 309
40 142 340
41 149 318
42 156 318
43 160 313
44 162 310
45 178 413
46 174 364
47 195 410
48 199 473
49 200 496
50 222 499
51 294 448
52 301 528
53 278 574
54 285 565
55 254 574
56 255 660
57 289 642
58 335 617
59 351 621
60 299 691
61 312 744
62 374 791
63 308 830
64 354 809
65 401 774
66 377 804
67 375 774
68 428 963
69 397 866
70 408 932
71 420 868
72 435 983
73 513 1116
74 453 1043
75 441 920
76 511 946
77 470 977
78 478 1127
79 464 1033
80 391 1281
81 366 1394
82 370 1176
83 370 1182
84 423 1289
85 845 1402
86 681 1224
87 610 1421
88 672 1619
89 652 1610
90 692 1337
91 655 1473
92 659 1607
93 684 1531
94 691 1587
95 708 1282
96 781 1963
97 766 1964
98 744 1844
99 747 2057
100 773 1850
101 835 1736
102 845 2131
103 777 2101
104 884 2144
105 871 2408
106 843 2461
107 874 2204
108 858 2290
109 910 2313
110 869 2300
111 877 2465
112 874 2211
113 887 2501
114 843 2077
115 702 2657
116 634 2580
117 1066 2764
118 728 2720
119 704 2807
120 703 2542
121 700 2820
122 715 2587
123 721 2527
124 732 3022
125 743 3124
126 1021 2727
127 1073 3455
128 1283 3398
129 1290 3261
130 1339 2856
131 1066 3045
132 1281 3488
133 952 3682
134 937 3107
135 958 3554
136 994 3417
137 986 3657
138 1072 3393
139 1166 3411
140 1086 3450
141 1105 3745
142 1203 3974
143 1090 3904
144 1093 3945
145 1096 3902
146 1113 3918
147 1162 3824
148 1195 3995
149 1184 4204
150 1366 3944
151 1311 4096
152 1222 4502
153 1236 4240
154 1330 4043
155 1288 4022
156 1237 4334
157 1277 4291
158 1276 4720
159 1317 4016
160 1345 4498
161 1367 4654
162 1383 4885
163 1385 5265
164 1351 5022
165 1394 5243
166 1399 5208
167 1527 4812
168 1415 5000
169 1426 4972
170 1444 5710
171 1467 5057
172 1498 5398
173 1472 5323
174 1502 5812
175 1522 5528
176 1546 5295
177 1529 5713
178 1576 5662
179 1595 5326
180 2231 5307
181 2347 5815
182 2402 5993
183 2448 5958
184 2500 5709
185 2443 6511
186 2400 5587
187 2425 5662
188 1791 5972
189 2098 5643
190 2007 6145
191 1882 6647
192 2000 7639
193 2349 7534
194 2387 7908
195 2393 7182
196 2526 8256
197 2885 7909
198 2787 8607
199 2703 8530
