size time
1 6
2 7
3 9
4 7
5 43
6 33
7 65
8 46
9 46
10 50
11 59
12 55
13 60
14 53
15 54
16 65
17 85
18 95
19 69
20 82
21 78
22 86
23 80
24 89
25 88
26 108
27 95
28 119
29 104
30 118
31 101
32 105
33 118
34 120
35 134
36 170
37 148
38 131
39 138
40 159
41 150
42 147
43 150
44 200
45 159
46 202
47 184
48 251
49 208
50 205
51 217
52 231
53 220
54 235
55 233
56 286
57 286
58 276
59 307
60 327
61 407
62 333
63 332
64 303
65 310
66 332
67 325
68 419
69 321
70 296
71 301
72 382
73 404
74 401
75 394
76 433
77 447
78 462
79 468
80 427
81 451
82 435
83 506
84 528
85 537
86 509
87 900
88 966
89 563
90 638
91 711
92 586
93 489
94 475
95 669
96 610
97 741
98 590
99 672
100 596
101 595
