size time
1 14
2 15
3 16
4 19
5 51
6 50
7 63
8 118
9 125
10 71
11 88
12 120
13 193
14 136
15 140
16 289
17 292
18 217
19 284
20 407
21 355
22 337
23 334
24 366
25 491
26 429
27 757
28 593
29 677
30 948
31 974
32 1007
33 1053
34 1094
35 1314
36 1484
37 1493
38 1836
39 1572
40 1666
41 2008
42 2437
43 2855
44 2779
45 2173
46 2965
47 2769
48 3177
49 2978
50 3282
51 4113
52 4169
53 4087
54 3511
55 3199
56 4314
57 4749
58 4655
59 5419
60 4884
61 9817
62 11542
63 6617
64 6956
65 6288
66 7201
67 7787
68 6227
69 6369
70 6706
71 7257
72 8353
73 9684
74 9773
75 9061
76 10397
77 9071
78 9339
79 10991
80 11913
81 13701
82 13237
83 18411
84 18171
