size time
10 0
110 17
210 57
310 115
410 213
510 314
610 438
710 596
810 768
910 968
1010 1293
1110 1620
1210 1809
1310 2087
1410 2291
1510 2750
1610 3159
1710 3643
1810 3922
1910 4388
2010 4260
2110 5285
2210 5084
2310 6113
2410 6657
2510 5786
2610 7746
2710 8348
2810 9193
2910 8108
3010 10507
3110 8859
3210 8366
3310 11847
3410 9438
3510 11365
3610 13397
3710 11783
3810 15129
3910 16356
4010 16574
4110 19776
4210 15321
4310 20792
4410 19612
4510 20111
4610 19074
4710 24338
4810 18736
4910 19537
5010 22619
5110 26315
5210 30392
5310 25516
