size time
10 1
110 7
210 15
310 22
410 26
510 29
610 32
710 47
810 46
910 56
1010 77
1110 79
1210 79
1310 85
1410 91
1510 98
1610 102
1710 121
1810 114
1910 122
2010 169
2110 147
2210 149
2310 190
2410 164
2510 186
2610 211
2710 281
2810 224
2910 230
3010 259
3110 253
3210 254
3310 267
3410 261
3510 267
3610 259
3710 348
3810 343
3910 314
4010 350
4110 367
4210 348
4310 386
4410 390
4510 426
4610 404
4710 425
4810 460
4910 400
5010 418
5110 360
5210 406
5310 403
5410 413
5510 437
5610 403
5710 423
5810 496
5910 564
6010 431
6110 465
6210 468
6310 469
6410 480
6510 453
6610 493
6710 478
6810 523
6910 497
7010 531
7110 513
7210 532
7310 534
7410 538
7510 555
7610 544
7710 585
7810 566
7910 702
8010 620
8110 588
8210 668
8310 813
8410 756
8510 677
8610 668
8710 707
8810 775
8910 899
9010 938
9110 918
9210 931
9310 922
9410 935
9510 947
9610 786
9710 776
9810 753
9910 829
