size time
10 138
110 947
210 1089
310 1705
410 2317
510 2630
610 3499
710 4007
810 4427
910 4336
1010 7101
1110 9579
1210 6664
1310 6954
1410 11451
1510 13084
1610 12954
1710 17075
1810 14187
1910 9094
2010 9696
2110 12342
2210 26243
2310 16381
2410 12786
2510 13205
2610 13835
2710 14027
2810 15743
2910 14644
3010 14847
3110 15974
3210 16248
3310 15966
3410 16819
3510 18912
3610 23693
3710 18707
3810 19761
3910 21253
4010 31505
4110 38532
4210 37526
4310 23468
4410 32720
4510 36387
4610 26098
4710 27770
4810 28241
4910 31886
5010 32488
5110 26542
5210 26726
5310 27325
5410 30255
5510 34317
5610 35894
5710 32043
5810 32294
5910 32718
6010 31773
6110 50502
6210 26414
6310 32620
6410 27495
6510 38180
6610 31631
6710 32276
6810 48674
6910 42256
7010 42598
7110 48607
7210 47927
7310 29690
7410 29408
7510 30326
7610 57255
7710 41133
7810 105784
7910 54645
8010 51748
8110 41084
8210 74896
8310 48394
8410 39451
8510 104250
8610 60566
8710 47235
8810 60272
8910 49663
9010 48597
9110 49177
9210 89570
9310 54505
9410 50109
9510 50832
9610 55193
9710 51903
9810 51451
9910 63258
10010 54074
10110 49402
10210 75201
10310 77931
10410 53886
10510 55711
10610 55233
10710 61729
10810 67373
10910 60455
11010 60254
11110 69734
11210 59534
11310 48626
11410 49985
11510 58088
11610 58029
11710 65964
11810 98197
11910 60241
12010 59218
12110 66715
12210 49968
12310 61240
12410 94943
12510 61360
12610 73955
12710 97901
12810 102044
12910 68894
13010 72744
13110 133942
13210 90237
13310 74993
13410 109342
13510 81329
13610 67106
13710 74522
13810 74761
13910 72576
14010 66325
14110 78526
14210 69865
14310 57383
14410 60352
14510 67969
14610 72018
14710 59632
14810 70182
14910 52753
15010 110100
15110 82118
15210 75257
15310 106417
15410 82152
15510 56998
15610 71696
15710 134328
15810 97850
15910 64636
16010 81942
16110 86579
16210 81741
16310 61205
16410 99514
16510 142488
16610 107171
16710 79509
16810 92564
16910 148485
17010 105859
17110 99881
17210 99318
17310 101998
17410 84348
17510 106826
17610 119177
17710 77205
17810 95459
17910 93674
18010 115144
18110 181319
18210 128691
18310 95907
18410 111809
18510 97560
18610 123112
18710 97359
18810 90672
18910 123110
19010 102503
19110 92497
19210 113801
19310 112457
19410 89608
19510 109496
19610 89694
19710 102586
19810 128541
19910 88935
20010 119229
20110 103972
20210 167799
20310 118993
20410 114955
20510 129287
20610 130441
20710 137860
20810 139201
20910 138920
21010 109765
21110 116118
21210 121495
21310 100626
21410 161413
21510 136115
21610 113190
21710 126076
21810 91095
21910 128840
22010 121463
22110 109301
22210 121257
22310 109499
22410 127129
22510 96228
22610 129286
22710 92581
22810 149189
22910 116901
23010 91088
23110 103702
23210 101150
23310 121774
23410 126158
23510 145400
23610 145863
23710 202065
23810 145627
23910 94110
24010 123368
24110 204527
24210 164607
24310 145605
24410 106021
24510 151735
24610 146388
24710 125110
24810 126591
24910 173213
25010 137208
25110 139339
25210 137558
25310 149293
25410 135480
25510 140072
25610 148077
25710 162364
25810 168611
25910 118090
26010 114981
26110 150923
26210 142806
26310 171899
26410 129010
26510 117363
26610 129181
26710 184611
26810 212405
26910 158269
27010 144250
27110 142071
27210 145674
27310 158800
27410 190441
27510 157603
27610 144606
27710 124422
27810 156272
27910 172566
28010 263141
28110 114649
28210 161370
28310 156472
28410 159308
28510 159833
28610 161431
28710 161588
28810 125063
28910 163108
29010 158186
29110 120400
29210 160747
29310 113999
29410 138302
29510 155555
29610 237793
29710 167414
29810 135081
29910 166693
30010 123723
30110 143596
