size time
10 88
110 1028
210 2555
310 3253
410 6674
510 8730
610 10407
710 14523
810 17767
910 22018
1010 33645
1110 33336
1210 42277
1310 44096
1410 49700
1510 61481
1610 78815
1710 83788
1810 91976
1910 96006
2010 98204
2110 105105
2210 120101
2310 170704
2410 137237
2510 151118
2610 182177
2710 188572
2810 183669
2910 205580
3010 221756
3110 225419
3210 248529
3310 254952
3410 277034
3510 291404
3610 403246
3710 318354
3810 339127
3910 338964
4010 359899
4110 514814
4210 428505
4310 496650
4410 370266
4510 481809
4610 487844
4710 496601
4810 677056
4910 580241
5010 595752
5110 617715
5210 623362
5310 644958
5410 719634
5510 692668
5610 713541
5710 795765
5810 759703
5910 800233
6010 814620
6110 911840
6210 780333
6310 729236
6410 767616
6510 907503
6610 990546
6710 1.01595e+06
6810 1.08257e+06
6910 1.25118e+06
7010 1.07327e+06
7110 1.21969e+06
7210 1.24984e+06
7310 1.18338e+06
7410 949848
7510 1.12023e+06
7610 1.06921e+06
7710 1.74046e+06
7810 1.46541e+06
7910 1.59994e+06
8010 1.73357e+06
8110 1.51578e+06
8210 1.50436e+06
8310 1.58586e+06
8410 1.33088e+06
8510 1.32291e+06
8610 1.36565e+06
8710 1.50302e+06
8810 1.70654e+06
8910 2.23567e+06
9010 1.84911e+06
9110 1.88353e+06
9210 1.93077e+06
9310 2.11779e+06
9410 1.62366e+06
9510 1.88916e+06
9610 2.17871e+06
9710 2.12785e+06
9810 2.17501e+06
9910 2.40281e+06
10010 2.82615e+06
10110 1.78662e+06
10210 1.93335e+06
10310 2.97279e+06
10410 2.44652e+06
10510 2.56841e+06
10610 2.55433e+06
10710 2.63679e+06
10810 2.76627e+06
10910 2.38845e+06
11010 2.93844e+06
11110 3.03348e+06
11210 2.85062e+06
11310 2.44518e+06
11410 2.47368e+06
11510 3.30849e+06
11610 3.0481e+06
11710 3.29698e+06
11810 3.12873e+06
11910 2.88476e+06
12010 3.53446e+06
12110 3.34408e+06
12210 3.40509e+06
12310 3.18627e+06
12410 3.49762e+06
12510 3.54342e+06
12610 4.14036e+06
12710 4.13194e+06
12810 3.90369e+06
12910 4.13494e+06
13010 3.58003e+06
13110 3.85077e+06
13210 4.46868e+06
13310 4.34004e+06
13410 3.87184e+06
13510 4.68115e+06
13610 5.57638e+06
13710 4.12043e+06
13810 4.6475e+06
13910 4.1156e+06
14010 3.67322e+06
14110 4.95599e+06
14210 4.42568e+06
14310 3.96036e+06
14410 3.87797e+06
14510 4.46032e+06
14610 4.77247e+06
14710 5.10046e+06
14810 4.75188e+06
14910 4.30386e+06
15010 5.28096e+06
15110 6.48928e+06
15210 4.47729e+06
15310 5.79245e+06
15410 5.66836e+06
15510 4.04235e+06
15610 4.75279e+06
15710 4.40562e+06
15810 5.93582e+06
15910 6.39783e+06
16010 5.10753e+06
16110 5.57177e+06
16210 5.91873e+06
16310 4.27173e+06
16410 6.22161e+06
16510 6.61624e+06
16610 6.43441e+06
16710 4.72811e+06
16810 5.31672e+06
16910 5.07208e+06
17010 5.94889e+06
17110 6.62302e+06
17210 5.5346e+06
17310 6.94971e+06
17410 6.25759e+06
17510 5.88004e+06
17610 6.85858e+06
17710 7.2693e+06
17810 6.45559e+06
17910 5.76356e+06
18010 8.17727e+06
18110 8.06089e+06
18210 6.4231e+06
18310 8.76356e+06
18410 7.04339e+06
18510 7.06925e+06
18610 7.50712e+06
18710 7.46248e+06
18810 6.00935e+06
18910 7.30627e+06
19010 7.6727e+06
19110 6.19174e+06
19210 7.44822e+06
19310 8.3593e+06
19410 6.63971e+06
19510 8.36137e+06
19610 7.85212e+06
19710 6.46348e+06
19810 8.727e+06
19910 7.56507e+06
20010 8.37822e+06
20110 8.37078e+06
20210 8.84729e+06
20310 8.79901e+06
20410 9.30943e+06
20510 8.98743e+06
20610 8.54988e+06
20710 9.39656e+06
20810 8.71686e+06
20910 9.35049e+06
21010 1.05803e+07
21110 7.91884e+06
21210 8.67232e+06
21310 1.0355e+07
21410 7.56096e+06
21510 1.1381e+07
21610 1.02687e+07
21710 9.61937e+06
21810 1.09802e+07
21910 9.93551e+06
22010 9.84961e+06
22110 1.0565e+07
22210 1.08953e+07
22310 9.32124e+06
22410 9.28393e+06
22510 1.17005e+07
22610 9.04919e+06
22710 1.10205e+07
22810 1.04023e+07
22910 9.83605e+06
23010 1.19437e+07
23110 1.05301e+07
23210 9.15332e+06
23310 1.25959e+07
23410 1.27197e+07
23510 1.34783e+07
23610 1.54287e+07
23710 1.24798e+07
23810 1.20727e+07
23910 1.23387e+07
24010 1.20907e+07
24110 1.37453e+07
24210 1.29994e+07
24310 1.21411e+07
24410 1.33216e+07
24510 1.66149e+07
24610 1.13336e+07
24710 1.28526e+07
24810 1.29542e+07
24910 1.47073e+07
25010 1.18484e+07
25110 1.51231e+07
25210 1.3397e+07
25310 1.31831e+07
25410 1.34851e+07
25510 1.33958e+07
25610 1.32183e+07
25710 1.44308e+07
25810 1.52473e+07
25910 1.56717e+07
26010 1.28712e+07
26110 1.46636e+07
26210 1.45324e+07
26310 1.38685e+07
26410 1.31473e+07
26510 1.36646e+07
26610 1.44295e+07
26710 1.66919e+07
26810 2.06696e+07
26910 1.46568e+07
27010 1.61437e+07
27110 1.43372e+07
27210 1.3963e+07
27310 1.49736e+07
27410 1.97783e+07
27510 1.60372e+07
27610 1.81012e+07
27710 1.68615e+07
27810 2.23555e+07
27910 1.78242e+07
28010 1.69069e+07
28110 1.90146e+07
28210 1.69368e+07
28310 1.77486e+07
28410 1.79396e+07
28510 1.45929e+07
28610 1.98717e+07
28710 1.95063e+07
28810 1.96457e+07
28910 1.75533e+07
29010 1.61522e+07
29110 2.09897e+07
29210 1.76439e+07
29310 1.8959e+07
29410 1.84608e+07
29510 1.74579e+07
29610 2.03469e+07
29710 1.94581e+07
29810 1.76288e+07
29910 1.78766e+07
30010 2.2813e+07
30110 1.74832e+07
