size time
10 246
110 5263
210 10472
310 19957
410 31298
510 62806
610 65866
710 92241
810 212507
910 318527
1010 218020
1110 216272
1210 289977
1310 301110
1410 356693
1510 416086
1610 482869
1710 539838
1810 578218
1910 607965
2010 699605
2110 801400
2210 834932
2310 925410
2410 993648
2510 1.37302e+06
2610 1.20699e+06
2710 1.29168e+06
2810 1.69401e+06
2910 1.94361e+06
3010 2.01578e+06
3110 2.18317e+06
3210 2.39274e+06
3310 2.19447e+06
3410 2.35073e+06
3510 2.72364e+06
3610 2.83886e+06
3710 3.03051e+06
3810 2.80606e+06
3910 2.56419e+06
4010 3.26273e+06
4110 4.29978e+06
4210 3.75796e+06
4310 3.14198e+06
4410 4.11358e+06
4510 6.48222e+06
4610 3.5099e+06
4710 4.95903e+06
4810 4.95787e+06
4910 4.78399e+06
5010 5.98504e+06
5110 6.32882e+06
5210 4.52093e+06
5310 5.90083e+06
5410 6.0433e+06
5510 6.35603e+06
5610 6.92989e+06
5710 6.86867e+06
5810 7.36856e+06
5910 6.76435e+06
6010 6.11036e+06
6110 7.24737e+06
6210 9.04834e+06
6310 8.11056e+06
6410 7.59402e+06
6510 1.00042e+07
6610 8.11859e+06
6710 9.51357e+06
6810 1.11596e+07
6910 1.03899e+07
7010 9.99571e+06
7110 1.3085e+07
7210 1.01354e+07
7310 1.16624e+07
7410 1.28184e+07
7510 1.17116e+07
7610 1.19014e+07
7710 1.25585e+07
7810 1.73109e+07
7910 1.26193e+07
8010 1.38962e+07
