size time
1 1
2 3
3 5
4 7
5 6
6 7
7 10
8 10
9 12
10 12
11 21
12 19
13 19
14 24
15 24
16 29
17 37
18 31
19 33
20 35
21 43
22 41
23 49
24 69
25 51
26 55
27 60
28 67
29 64
30 79
31 84
32 86
33 86
34 88
35 92
36 146
37 126
38 164
39 147
40 117
41 122
42 125
43 140
44 146
45 168
46 159
47 160
48 159
49 162
50 171
51 178
52 186
53 184
54 231
55 261
56 233
57 205
58 221
59 226
60 261
61 237
62 247
63 299
64 446
65 324
66 294
67 289
68 285
69 296
70 337
71 351
72 488
73 336
74 341
75 393
76 363
77 356
78 483
79 391
80 448
81 398
82 413
83 456
84 453
85 518
86 472
87 509
88 656
89 575
90 546
91 600
92 735
93 678
94 630
95 627
96 590
97 611
98 665
99 627
